station_eng,station_canto,line,lat,long,location_map_url,station_map_url
Lam Tin,藍田,Kwun Tong,22.30671,114.233702,https://www.mtr.com.hk/archive/ch/services/maps/lat.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/lat.pdf
Yau Tong,油塘,Kwun Tong,22.2940736,114.2375638,https://www.mtr.com.hk/archive/ch/services/maps/yat.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/yat.pdf
Tiu Keng Leng,調景嶺,Kwun Tong,22.3044835,114.2528669,https://www.mtr.com.hk/archive/ch/services/maps/tik.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/tik.pdf
Tsuen Wan,荃灣,Tsuen Wan,22.3730677,114.1185963,https://www.mtr.com.hk/archive/ch/services/maps/tsw.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/tsw.pdf
Tai Wo Hau,大窩口,Tsuen Wan,22.370609,114.124474,https://www.mtr.com.hk/archive/ch/services/maps/twh.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/twh.pdf
Kwai Hing,葵興,Tsuen Wan,22.363471,114.131255,https://www.mtr.com.hk/archive/ch/services/maps/kwh.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/kwh.pdf
Kwai Fong,葵芳,Tsuen Wan,22.3568133,114.1278223,https://www.mtr.com.hk/archive/ch/services/maps/kwf.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/kwf.pdf
Lai King,荔景,Tsuen Wan,22.3483517,114.126192,https://www.mtr.com.hk/archive/ch/services/maps/lak.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/lak.pdf
Mei Foo,美孚,Tsuen Wan,22.3375848,114.1379836,https://www.mtr.com.hk/archive/ch/services/maps/mef.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/mef.pdf
Lai Chi Kok,荔枝角,Tsuen Wan,22.33726,114.14803,https://www.mtr.com.hk/archive/ch/services/maps/lck.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/lck.pdf
Cheung Sha Wan,長沙灣,Tsuen Wan,22.33498,114.15748,https://www.mtr.com.hk/archive/ch/services/maps/csw.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/csw.pdf
Sham Shui Po,深水埗,Tsuen Wan,22.3285899,114.1602846,https://www.mtr.com.hk/archive/ch/services/maps/ssp.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/ssp.pdf
Prince Edward,太子,Tsuen Wan,22.325736,114.167909,https://www.mtr.com.hk/archive/ch/services/maps/pre.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/pre.pdf
Mong Kok,旺角,Tsuen Wan,22.3194068,114.1692081,https://www.mtr.com.hk/archive/ch/services/maps/mok.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/mok.pdf
Yau Ma Tei,油麻地,Tsuen Wan,22.313734,114.169815,https://www.mtr.com.hk/archive/ch/services/maps/ymt.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/ymt.pdf
Jordan,佐敦,Tsuen Wan,22.30479,114.17166,https://www.mtr.com.hk/archive/ch/services/maps/jor.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/jor.pdf
Tsim Sha Tsui,尖沙咀,Tsuen Wan,22.2977271,114.1721665,https://www.mtr.com.hk/archive/ch/services/maps/tst.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/tst.pdf
Admiralty,金鐘,Tsuen Wan,22.279412,114.164559,https://www.mtr.com.hk/archive/ch/services/maps/adm.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/adm.pdf
Central,中環,Tsuen Wan,22.2819989,114.1576766,https://www.mtr.com.hk/archive/ch/services/maps/cen.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/cen.pdf
Kennedy Town,堅尼地城,Island,22.2812467,114.1288825,https://www.mtr.com.hk/archive/ch/services/maps/ket.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/ket.pdf
HKU,香港大學,Island,22.283984,114.135042,https://www.mtr.com.hk/archive/ch/services/maps/hku.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/hku.pdf
Sai Ying Pun,西營盤,Island,22.285533,114.142733,https://www.mtr.com.hk/archive/ch/services/maps/syp.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/syp.pdf
Sheung Wan,上環,Island,22.2865601,114.1518714,https://www.mtr.com.hk/archive/ch/services/maps/shw.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/shw.pdf
